LRU/SRU P/N Product Line Desc,FAILURE OPEN DATE,Failed Item Description,Failed Item,Fail Code Desc,Fail Cat Desc,Rep Act Code Des
P ,01/01/2023,"PWA, COBE",078898B-00,SRU Issue,electrical,Replaced/add Component
C ,02/01/2023,DTD UNIT,MB0946C-07,Tester Issue,low temp,Retest
P ,02/01/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE ELBIT,Workmanship,Reprograming
C ,03/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,03/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
P ,05/01/2023,WCNDM TOP ASSY,MB1402A-00,Visual Inspection,Optical,Cleaning
P ,05/01/2023,"NIGHT HUD, TOP ASSY",MB240A-03,Inspection,Mechanical,Replaced/add Component
P ,06/01/2023,COLOR DAY HUD,MB1268A-03,OPERATOR MISTAKE KABAM,Workmanship,No repair action was taken
C ,08/01/2023,AMC,MB0807D-22,Assembly Issue,,Reassembly
M ,08/01/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,electrical,Replaced/add Component
C ,08/01/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Reprograming
C ,08/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Rework
C ,08/01/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
C ,08/01/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
C ,08/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,08/01/2023,COLOR NIGHT DISPLAY MODULE,039430H-00,Tester Issue,Tester,Fixed Test Equipment
C ,09/01/2023,AMC,MB0807D-22,Assembly Issue,Assembly,Reassembly
P ,09/01/2023,WCNDM TOP ASSY,MB1402A-00,Tester Issue,Tester,Retest
C ,09/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,10/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,10/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,10/01/2023,AMC,MB0807D-22,Operator Mistake,Software,Rework
M ,10/01/2023,POWER SUPPLY,901-31-00500-03,Electrical Issue,electrical,Replaced/add Component
C ,11/01/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Defect LRU,RT,Repair
P ,11/01/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,12/01/2023,COMMON DEP TOP ASSY,MB1658B-00,Tester Issue,Tester,Fixed Test Equipment
C ,12/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,12/01/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,13/01/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,13/01/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
C ,15/01/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Repair
C ,15/01/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Rework
C ,15/01/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Rework
C ,15/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,16/01/2023,WCDDM TOP ASSY,MB1403A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
C ,16/01/2023,"PWA, IOC BASE",006465J-00,SRU Issue,electrical,Replaced/add Component
M ,16/01/2023,POWER SUPPLY,901-31-00500-03,Tester Issue,Tester,Retest
M ,16/01/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
M ,16/01/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
P ,16/01/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,16/01/2023,OLED OPTICS ASSY,082712H-00,SRU Issue,Inspection Optics,Replaced SRU
C ,17/01/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,17/01/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,17/01/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
P ,18/01/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE ELBIT,Workmanship,Reprograming
M ,18/01/2023,OPTOCOUPLER SIM ASSY,97-05-31006-01,Component Issue,electrical,Replaced/add Component
M ,18/01/2023,OPTOCOUPLER SIM ASSY,97-05-31006-01,Component Issue,electrical,Replaced/add Component
C ,18/01/2023,DTD UNIT,MB0946C-07,SRU Issue,Mechanical,Replaced SRU
M ,18/01/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
M ,18/01/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
P ,19/01/2023,WCNDM TOP ASSY,MB1402N-01,OPERATOR MISTAKE ELBIT,Workmanship,Reprograming
P ,19/01/2023,WCNDM TOP ASSY,MB1402N-01,OPERATOR MISTAKE ELBIT,Workmanship,Reprograming
M ,19/01/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Rework
P ,19/01/2023,OLED OPTICS ASSY,082712H-00,SRU Issue,electrical,Replaced SRU
P ,20/01/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,No repair action was taken
P ,20/01/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,21/01/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,22/01/2023,WCDDM TOP ASSY,MB1403A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
C ,23/01/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,23/01/2023,VCM PAYLOAD,904-80-00200-01,Tester Issue,low temp,Retest
C ,24/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,24/01/2023,POWER SUPPLY BD.UP.ASSY,79-31-00600-01,Electrical Issue,Hardware,Replaced/add Component
M ,24/01/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,electrical,Reprograming
M ,24/01/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,electrical,Reprograming
M ,24/01/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,electrical,Replaced/add Component
C ,24/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,24/01/2023,VCM PANO,904-80-00250-01,Cleaning Issue,HT,Cleaning
M ,25/01/2023,PDCR,602-31-00140-02,Tester Issue,Tester,TESTER SOFTWER STUCK
P ,25/01/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,26/01/2023,WCNDM TOP ASSY,MB1402A-00,Foreign Object Damage,Mechanical,Reassembly
C ,29/01/2023,DTD UNIT,MB0946C-07,Can Not Duplicate,RT,No repair action was taken
M ,30/01/2023,RMSC,93-30-00200-05,Cleaning Issue,HT,Cleaning
M ,30/01/2023,RMSC,93-30-00200-05,Cleaning Issue,HT,Cleaning
C ,30/01/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Defect LRU,RT,Repair
C ,30/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,30/01/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
